"author","clean"
"Wallis/Brackett, G. McDonald/Leigh.","G. McDonald Wallis"
"Carter, Lin (ed.); Clark Ashton Smith, Fritz Leiber, Tanith Lee, Thomas Burnett Swann, Avram Davidson, L. Sprague de Camp, Gary Myers, Pat McIntosh, Walter C. DeBill Jr., Paul Spencer, C.A. Cador","Lin Carter"
"Ray Bradbury Isaac Asimov","Ray Bradbury"
"Maurus JÃ kai, Maurus Jokai","Maurus JÃ kai"
"Gernsback, Hugo (ed.); Otto Willi Gail; Wesley Arnold; M F Rupert; Frank Bridge; Clare Winger Harris; Fletcher Pratt; Frank Belknap Long )","Otto Willi Gail"
"Stephanie Emily Dickinson","Emily Dickinson"
"BUDGE (Ernest A Wallis)","Ernest A Wallis"
"SparkNotes, Mary Wollstonecraft Shelley","Mary Wollstonecraft Shelley"
"Charteris, Leslie (Ed.); Derleth, August; Rohmer, Sax; Brown, Wenzell et al","August Derleth"
"et al. Lin Carter (Editor)","Lin Carter"
"Richard S. Shaver, Chester S. Geier, Robert Bloch, Stuart J. Byrne","Richard S. Shaver"
"Sir Arthur Conan Doyle, Arthur Conan Doyle","Arthur Conan Doyle"
"Charteris, Leslie (Ed.); MacDonald, Philip; Derleth, August et al","Philip MacDonald"
"Terry Carr (editor); Leigh Brackett, Edmond Hamilton, Henry Kuttner, C.L. Moore, Others","Leigh Brackett"
"Brackett, Leigh / Brackett, Leigh","Leigh Brackett"
"C. L. Moore, Henry Kuttner, Leigh Brackett","C. L. Moore"
"Editor August Derleth","August Derleth"
"Arthur Conan Doyle, L. T. Meade, Robert Eustace, Arnold Bennett, Baroness Orczy, R. Austin Freeman","Arthur Conan Doyle"
"SparkNotes, Mary Wollstonecraft Shelley","Mary Wollstonecraft Shelley"
"Elizabeth Barrett Browning, George Gordon - Lord Byron, Emily Dickinson, George Eliot, Ralph Waldo Emerson, Robert Frost, Thomas Gray, John Keats, Rudyard Kipling","Elizabeth Barrett Browning"
"Sir Arthur Conan Doyle, Arthur Conan Doyle","Arthur Conan Doyle"
"Ignatius Donnelly / Ed. Egerton Sykes","Ignatius Donnelly"
"Bulfinch, Thomas. With Notes, Revisions & Additions by William Klapp.","Thomas Bulfinch"
"Ben King Walt Whitman, Robert Louis Stevenson Josiah G Holland, Richard Burton George Gordon-Lord Byron, Robert Burns Elizabeth Barrett Browning, Caroline Norton Robert Bloomfield, Bellyse Baildon Bret Harte, William Blake Emily Dickinson, Lewis Carroll","Ben King Walt Whitman"
"L. Sprague de Camp, Lester del Rey, John W. Campbell Jr., Murray Leinster, Howard Wandrei, Raymond Z. Gallun, Stanley G. Weinbaum, Eric Frank Russell, Manly Wade Wellman","L. Sprague de Camp"
"If (Robert E. Margroff, Piers Anthony, & Andrew J. Offutt; D. M. Melton; Christopher Anvil; Keith Laumer & Rosel George Brown; Carol Easton; Larry Niven; Lin Carter)","Robert E. Margroff"
"VENTURE SCIENCE FICTION Theodore Sturgeon; Avram Davidson; Miriam Allen Deford; Isaac Asimov; Edmond Hamilton; Leigh Brackett","Theodore Sturgeon"
"J.R.R. Tolkien","J. R. R. Tolkien"
"J.R. R. Tolkien","J. R. R. Tolkien"
"De Camp, L. Sprague and Fletcher Pratt","L. Sprague de Camp"
"William Jardine , Andrew Crichton , Prideaux John Selby , Joseph Harvey Riley","William Jardine"
"Howard, Robert E./ Brackett, Leigh","Robert E. Howard"
"de Castro, Adolphe Danziger; Bierce, Ambrose","Adolphe Danziger de Castro"
"Lin Carter / Kris Neville","Lin Carter"
"Sherlock Holmes : Quatre aventures de Sherlock Holmes Conan Doyle, Sir Arthur","Arthur Conan Doyle"
"Edited by Sam Merwin, Jr. with Stories by Jack Vance , Edmond Hamilton, Leigh Brackett and others","Jack Vance"
"Fantastic Adventures\) \] \[Alexander Blade, Walt Sheldon, Fritz Leiber, William Tenn, Lester del Rey, Craig Browning, August Derleth, L. A. Burt, Jon Barry, A. Morris, J. R. Marks, Carter T. Wainwright, A. T. Kedzie, et al\]","Alexander Blade"
"Lovecraft. H. P. and August Derleth","H. P. Lovecraft"
"De Camp, L.Sprague ; Carter, Lin, Illustrated by Kirk, Tim","L. Sprague De Camp"
"Hughes,. Rupert, Revised and Edited By Deems Taylor","Rupert Hughes"
"Journal. Felton, George H. (ed.). Contributions by William Carlos Williams, George Abbe, Norman Macleod, August Derleth, Howard Nutt, Alan Swallow, et al.","William Carlos Williams"
"Vic Ghidalia & Roger Elwood (editors) ; August Derleth, Saki, Others","August Derleth"
"Bierce, Ambrose/Voss, Richard (trans)/Valency, Maurice (intro)/Ciry, Michel (illus)","Ambrose Bierce"
"Edited by August Derleth.","August Derleth"
"Dickinson, Emily Elizabeth & Austin) Fisher, Aileen & Rabe, Olive","Elizabeth Dickinson"
"Cotting, Christine Dickens Charles;","Christine Cotting"
"Silverberg, Robert / Brackett, Leigh","Robert Silverberg"
"L Sprague De Camp, Lin Carter, Bjorn Nyberg","L. Sprague de Camp"
"Weil, James L. (ed.), Theodore Enslin, Judson Crews, Felix Stefanile, Barriss Mills, August Derleth, Charles Philbrick, Gena Ford, et al.","Theodore Enslin"
"Budge, E. A. W. (Ernest Alfred Thompson Wallis), 1857-1934. New introductio","E. A. W. Budge"
"Goldsmith, Cele (Editor); Fritz Leiber; Daniel F. Galouye; Joseph E. Kelleam; H. P. Lovecraft & August W. Derleth; William W. Stuart","Fritz Leiber"
